barrio;inicial;priminc;primcomp;secinc;seccomp;terinc;tercomp;univinc;univcomp;posinc;poscomp;sabeleer;nosabeleer;cobertura;nocobertura;ocupados;desocupados;inactivos;nbi1;nbi2;nbi3;nbi4;nbi5;sinpriv;privpat;privrec;privconv;casa;rancho;casilla;departamento;piezaolocal;uno;dos;tres;cuatro;cinco;seis;siete;ochoomas
Villa 9 de Julio;0.035511364;0.160037879;0.274621212;0.229166667;0.146780303;0.023674242;0.026041667;0.059659091;0.036458333;0.002367424;0.005681818;0.955172414;0.037931034;0.491593567;0.508406433;0.615952981;0.054240134;0.329806885;0.141812865;0.019858674;0.020589669;0;0.009015595;0.772782651;0.181164717;0.023269981;0.017787524;0.900788132;0.011126565;0.006954103;0.064441354;0.016689847;0.102920723;0.178025035;0.193324061;0.204914233;0.15067223;0.081594808;0.058414465;0.030134446
Villa Adela;0.016267943;0.10430622;0.245933014;0.212440191;0.211483254;0.055502392;0.055502392;0.053588517;0.038277512;0.004784689;0.001913876;0.960206127;0.023761809;0.694736842;0.305263158;0.554597701;0.050287356;0.395114943;0.067313019;0.004155125;0.00498615;0;0.008310249;0.905817175;0.061772853;0.024930748;0.007479224;0.787476281;0.0028463;0;0.203036053;0.006641366;0.144212524;0.187855787;0.217267552;0.197343454;0.138519924;0.072106262;0.026565465;0.016129032
Villa Alberdi;0.018867925;0.267924528;0.283018868;0.273584906;0.096226415;0.013207547;0.009433962;0.030188679;0.00754717;0;0;0.975706495;0.038671294;0.472634508;0.527365492;0.55239899;0.046085859;0.401515152;0.157235622;0.015306122;0.02458256;0;0.010204082;0.774118738;0.161410019;0.027365492;0.033395176;0.859680284;0.012433393;0.005328597;0.111900533;0.010657194;0.136767318;0.1669627;0.179396092;0.177619893;0.124333925;0.087033748;0.104795737;0.023090586
Villa Alberto;0.034883721;0.186046512;0.337209302;0.220930233;0.104651163;0;0;0.034883721;0.069767442;0;0.011627907;0.916876574;0.057934509;0.334951456;0.665048544;0.531365314;0.088560886;0.380073801;0.240291262;0.009708738;0.012135922;0;0;0.779126214;0.184466019;0.033980583;0.002427184;0.988505747;0;0.011494253;0;0;0.045977011;0.091954023;0.206896552;0.149425287;0.172413793;0.091954023;0.172413793;0.068965517
Villa Alicia Risler;0.079608939;0.168994413;0.32122905;0.240223464;0.134078212;0.023743017;0.012569832;0.016759777;0.002793296;0;0;0.999589491;0.04228243;0.461395694;0.538604306;0.546480387;0.060720043;0.39279957;0.16481069;0.011135857;0.026354863;0;0.011878248;0.684855234;0.219376392;0.039346696;0.056421678;0.964747356;0.009400705;0.004700353;0.016451234;0.004700353;0.346650999;0.126909518;0.130434783;0.129259694;0.110458284;0.072855464;0.052878966;0.030552291
Villa Allende Parque;0.024444444;0.123703704;0.26962963;0.212592593;0.165185185;0.026666667;0.054074074;0.074074074;0.040740741;0.002962963;0.005925926;0.953469875;0.02883277;0.523173755;0.476826245;0.620149062;0.044204575;0.335646363;0.146862483;0.016593553;0.009917986;0.001335113;0.006294106;0.893572382;0.065611291;0.032424185;0.008392142;0.934593023;0.001453488;0.007267442;0.046511628;0.010174419;0.100290698;0.16497093;0.200581395;0.226744186;0.151162791;0.063953488;0.050872093;0.041424419
Villa Argentina;0.018927445;0.075709779;0.107255521;0.160883281;0.179810726;0.063091483;0.069400631;0.141955836;0.164037855;0.003154574;0.015772871;0.989539749;0.008368201;0.885973764;0.114026236;0.606396064;0.029520295;0.364083641;0.008072654;0.003027245;0;0;0.001009082;0.948536831;0.016145308;0.034308779;0.001009082;0.94637224;0;0;0.047318612;0.006309148;0.116719243;0.287066246;0.208201893;0.211356467;0.116719243;0.05362776;0.003154574;0.003154574
Villa Aspacia;0.016447368;0.139802632;0.302631579;0.253289474;0.166118421;0.027960526;0.026315789;0.047697368;0.019736842;0;0;0.950289975;0.032311516;0.6230893;0.3769107;0.592243187;0.0639413;0.343815514;0.168141593;0.000402253;0.017296862;0;0.004022526;0.84312148;0.127916331;0.023330652;0.005631537;0.937908497;0;0;0.060457516;0.001633987;0.073529412;0.163398693;0.204248366;0.192810458;0.147058824;0.107843137;0.065359477;0.045751634
Villa Ávalos;0.120967742;0.268817204;0.287634409;0.228494624;0.048387097;0.010752688;0.005376344;0.002688172;0.02688172;0;0;0.951255539;0.070901034;0.280808081;0.719191919;0.568588469;0.0944334;0.336978131;0.235016835;0.047138047;0.034343434;0;0.022895623;0.41952862;0.492255892;0.02962963;0.058585859;0.820707071;0.133838384;0.04040404;0.005050505;0;0.126262626;0.199494949;0.204545455;0.143939394;0.123737374;0.103535354;0.053030303;0.045454545
Villa Azalais;0.033898305;0.157721281;0.327212806;0.224105461;0.151600753;0.017419962;0.026836158;0.037664783;0.019303202;0.00094162;0.003295669;0.961412151;0.03256705;0.603527106;0.396472894;0.550432277;0.057636888;0.391930836;0.09980405;0.013324624;0.010058785;0;0.002220771;0.892357936;0.062312214;0.035662965;0.009666884;0.855438274;0;0.003212483;0.128958238;0.012391005;0.131252868;0.197338229;0.205598899;0.20192749;0.120238642;0.078935291;0.048646168;0.016062414
